Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Kondisi
NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,Normal
NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,Normal
NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,Vandalisme
NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,Normal
NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,NoData,Vandalisme
NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,More,GempaMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,NoData,Normal
NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,NoData,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,More,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,More,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,Less,More,More,GempaMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,NoData,NoData,Vandalisme
NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,NoData,More,GempaMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,More,NoData,GempaMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,Less,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,Less,More,GempaMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,More,Less,GempaMerusak
NoData,NoData,NoData,NoData,NoData,NoData,NoData,More,More,More,GempaMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,NoData,NoData,Normal
NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,NoData,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,Less,NoData,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,Less,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,Less,More,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,More,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,NoData,More,More,GempaMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,NoData,NoData,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,NoData,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,NoData,More,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,Less,NoData,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,More,NoData,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,Less,Less,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,Less,More,GempaTidakMerusak
NoData,NoData,NoData,NoData,NoData,NoData,Less,Less,More,Less,GempaTidakMerusak
